query,issue,category,query_preprocessed,vocab
fileerlokaal,Infrastructuur,expanded,fileerlokaal,True
fileweek,Infrastructuur,expanded,fileweek,True
fileborden,Infrastructuur,expanded,fileborden,True
filemijdende,Infrastructuur,expanded,filemijdende,True
filecongres,Infrastructuur,expanded,filecongres,True
fileminuten,Infrastructuur,expanded,fileminuten,True
filetijden,Infrastructuur,expanded,filetijden,True
filepunt,Infrastructuur,expanded,filepunt,True
filevolk,Infrastructuur,expanded,filevolk,True
filen,Infrastructuur,expanded,filen,True
filediscussie,Infrastructuur,expanded,filediscussie,True
file*,Infrastructuur,wildcard,file,True
glasvezel,Infrastructuur,expanded,glasvezel,True
glasvezelnetwerk,Infrastructuur,expanded,glasvezelnetwerk,True
glasvezelkabels,Infrastructuur,expanded,glasvezelkabels,True
glasvezelnet,Infrastructuur,expanded,glasvezelnet,True
glasvezelkabel,Infrastructuur,expanded,glasvezelkabel,True
glasvezelnetwerken,Infrastructuur,expanded,glasvezelnetwerken,True
glasvezels,Infrastructuur,expanded,glasvezels,True
glasvezelbedrijf,Infrastructuur,expanded,glasvezelbedrijf,True
glasvezelnetten,Infrastructuur,expanded,glasvezelnetten,True
glasvezelverbindingen,Infrastructuur,expanded,glasvezelverbindingen,True
glasvezelverbinding,Infrastructuur,expanded,glasvezelverbinding,True
glasvezelaansluiting,Infrastructuur,expanded,glasvezelaansluiting,True
glasvezelmarkt,Infrastructuur,expanded,glasvezelmarkt,True
glasvezelaansluitingen,Infrastructuur,expanded,glasvezelaansluitingen,True
glasvezelinternet,Infrastructuur,expanded,glasvezelinternet,True
glasvezelproducent,Infrastructuur,expanded,glasvezelproducent,True
glasvezelexploitant,Infrastructuur,expanded,glasvezelexploitant,True
glasvezelproject,Infrastructuur,expanded,glasvezelproject,True
glasvezelactiviteiten,Infrastructuur,expanded,glasvezelactiviteiten,True
glasvezelkabelaar,Infrastructuur,expanded,glasvezelkabelaar,True
glasvezelaanbieders,Infrastructuur,expanded,glasvezelaanbieders,True
glasvezelplannen,Infrastructuur,expanded,glasvezelplannen,True
glasvezelbedrijven,Infrastructuur,expanded,glasvezelbedrijven,True
glasvezeltechnologie,Infrastructuur,expanded,glasvezeltechnologie,True
glasvezelfabrikant,Infrastructuur,expanded,glasvezelfabrikant,True
glasvezelversterkte,Infrastructuur,expanded,glasvezelversterkte,True
glasvezeldochter,Infrastructuur,expanded,glasvezeldochter,True
glasvezelaanbieder,Infrastructuur,expanded,glasvezelaanbieder,True
glasvezelcommunicatie,Infrastructuur,expanded,glasvezelcommunicatie,True
glasvezeldiensten,Infrastructuur,expanded,glasvezeldiensten,True
glasvezelapparatuur,Infrastructuur,expanded,glasvezelapparatuur,True
glasvezelklanten,Infrastructuur,expanded,glasvezelklanten,True
glasvezelprojecten,Infrastructuur,expanded,glasvezelprojecten,True
glasvezelindustrie,Infrastructuur,expanded,glasvezelindustrie,True
glasvezelkabelnetwerk,Infrastructuur,expanded,glasvezelkabelnetwerk,True
glasvezeltechniek,Infrastructuur,expanded,glasvezeltechniek,True
glasvezelinfrastructuur,Infrastructuur,expanded,glasvezelinfrastructuur,True
glasvezellijnen,Infrastructuur,expanded,glasvezellijnen,True
glasvezelkabelbedrijf,Infrastructuur,expanded,glasvezelkabelbedrijf,True
glasvezeldraad,Infrastructuur,expanded,glasvezeldraad,True
glasvezelcapaciteit,Infrastructuur,expanded,glasvezelcapaciteit,True
glasvezelabonnement,Infrastructuur,expanded,glasvezelabonnement,True
glasvezelaanleg,Infrastructuur,expanded,glasvezelaanleg,True
glasvezeltak,Infrastructuur,expanded,glasvezeltak,True
glasvezelring,Infrastructuur,expanded,glasvezelring,True
glasvezelsector,Infrastructuur,expanded,glasvezelsector,True
glasvezelkabeltje,Infrastructuur,expanded,glasvezelkabeltje,True
glasvezelspecialist,Infrastructuur,expanded,glasvezelspecialist,True
glasvezelinitiatieven,Infrastructuur,expanded,glasvezelinitiatieven,True
glasvezelcomponenten,Infrastructuur,expanded,glasvezelcomponenten,True
glasvezelnetwerkbedrijf,Infrastructuur,expanded,glasvezelnetwerkbedrijf,True
glasvezelfabriek,Infrastructuur,expanded,glasvezelfabriek,True
glasvezeldeeltjes,Infrastructuur,expanded,glasvezeldeeltjes,True
